strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
England/NOTT-112A2A/2020	EPI_ISL_493575	COVID-19 Genomics UK (COG-UK) Consortium		Nichola Duckworth et al																	
Ukraine/203100323/2020	EPI_ISL_512603	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
Portugal/PT0139/2020	EPI_ISL_453855	Instituto Nacional de Saude (INSA)		Borges et al et al																	
UnitedArabEmirates/0925/2020	EPI_ISL_699063	G42 Healthcare		Rong Liu et al																	
UnitedArabEmirates/0935/2020	EPI_ISL_699071	G42 Healthcare		Rong Liu et al																	
Austria/CeMM0977/2020	EPI_ISL_583822	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A																	
USA/CA-CZB-1919/2020	EPI_ISL_486211	Chan-Zuckerberg Biohub		CZB Cliahub Consortium et al																	
Israel/CVL-561ngs/2020	EPI_ISL_804121	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
England/QEUH-9653DA/2020	EPI_ISL_531206	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Harper VanSteenhouse et al																	
Italy/APU-PODV-15930297/2020	EPI_ISL_788971	"Beaconlab (Bioinformatics, Evolution and Comparative Genomics lab), Dept of Biosciences, University on Milan"		Iacobellis M et al			Bari														
England/MILK-69ECA3/2020	EPI_ISL_551829	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/MILK-639CF5/2020	EPI_ISL_557972	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/MILK-63A025/2020	EPI_ISL_557890	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/ALDP-97E9CD/2020	EPI_ISL_529414	COVID-19 Genomics UK (COG-UK) Consortium		Gemma Clark et al A																	
England/ALDP-97F2B2/2020	EPI_ISL_529532	COVID-19 Genomics UK (COG-UK) Consortium		Gemma Clark et al A																	
England/MILK-6ABF04/2020	EPI_ISL_551817	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/MILK-6285D0/2020	EPI_ISL_557742	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/MILK-61AB75/2020	EPI_ISL_557956	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
Turkey/HSGM-5677/2021	EPI_ISL_1213990	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Turkey/HSGM-5667/2021	EPI_ISL_1213974	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Turkey/HSGM-5933/2021	EPI_ISL_1211630	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Turkey/HSGM-5587/2021	EPI_ISL_1196182	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Turkey/HSGM-5646/2021	EPI_ISL_1213980	Ministry of Health Turkey		Fatma Bayrakdar et al A																	
Russia/MOS-CRIE-13594312/2020	EPI_ISL_745232	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemilology		Samoilov AE et al																	
Russia/SPE-RII-MH13831S/2021	EPI_ISL_873037	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al A			Saint-Petersburg														
USA/IL-IDPH-MOR-S-0001400/2020	EPI_ISL_1032819	"Gagnon Lab, Southern Illinois University"		Keith Gagnon et al																	
USA/IL-IDPH-ADA-S-0001268/2020	EPI_ISL_1032737	"Gagnon Lab, Southern Illinois University"		Keith Gagnon et al																	
USA/IL-IDPH-ADA-S-0001312/2020	EPI_ISL_1032764	"Gagnon Lab, Southern Illinois University"		Keith Gagnon et al																	
USA/TX-HMH-4540/2020	EPI_ISL_543704	Houston Methodist Hospital		S. Wesley Long et al																	
USA/TX-HMH-5249/2020	EPI_ISL_544626	Houston Methodist Hospital		S. Wesley Long et al																	
Azerbaijan/RRCEM-sp_3/2021	EPI_ISL_1138969	Laboratory for HIV and opportunistic infections diagnosis The Republican Research and Practical Center for Epidemiology and Microbiology (RRPCEM)		Elena Gasich et al																	
England/MILK-55C079/2020	EPI_ISL_558336	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/QEUH-76E0BE/2020	EPI_ISL_533078	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Harper VanSteenhouse et al																	
England/MILK-822D18/2020	EPI_ISL_557314	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/NOTT-111D13/2020	EPI_ISL_472399	COVID-19 Genomics UK (COG-UK) Consortium		Gemma Clark et al A																	
England/ALDP-5BCD52/2020	EPI_ISL_558746	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/MILK-83E64B/2020	EPI_ISL_557204	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/MILK-83DCA4/2020	EPI_ISL_557259	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al																	
England/ALDP-6C8B0D/2020	EPI_ISL_556296	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-953481/2020	EPI_ISL_554555	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-9534AF/2020	EPI_ISL_554458	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-95AAC4/2020	EPI_ISL_554914	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-94EC45/2020	EPI_ISL_556474	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/QEUH-5EF9E9/2020	EPI_ISL_533264	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Harper VanSteenhouse et al																	
England/ALDP-59B4CD/2020	EPI_ISL_558348	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-95133B/2020	EPI_ISL_554175	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-94D54B/2020	EPI_ISL_554878	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-5D4BB4/2020	EPI_ISL_558428	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
England/ALDP-5D4B1E/2020	EPI_ISL_558426	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al																	
Ukraine/Kyiv-785/2020	EPI_ISL_576148	"Department of Respiratory & Other Viral Infections of L.V. Gromashevsky Institute of Epidemiology & Infectious Diseases NAMS of Ukraine, JSC ""Farmak"""		Alla Mironenko et al																	
Canada/BC-BCCDC-6833/2020	EPI_ISL_974863	BCCDC Public Health Laboratory		Prystajecky Natalie et al																	
NewZealand/20CV0510/2020	EPI_ISL_622787	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al																	
Denmark/DCGC-7903/2020	EPI_ISL_618863	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-11606/2020	EPI_ISL_671020	"Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortium et al																	
Germany/ST-MD207/2020	EPI_ISL_884278	Institute of Medical Microbiology and Hospital Hygiene		Prof. Dr. Achim Kaasch et al																	
Germany/ST-MD248/2020	EPI_ISL_884279	Institute of Medical Microbiology and Hospital Hygiene		Prof. Dr. Achim Kaasch et al																	
Ukraine/ChVir23535_58/2021	EPI_ISL_1112317	"Charité Universitätsmedizin Berlin, Institute of Virology"		Victor M Corman et al A																	
Ukraine/ChVir23535_19/2021	EPI_ISL_1112299	"Charité Universitätsmedizin Berlin, Institute of Virology"		Victor M Corman et al A																	
Ukraine/ChVir23535_20/2021	EPI_ISL_1112300	"Charité Universitätsmedizin Berlin, Institute of Virology"		Victor M Corman et al A																	
Japan/IC-0116/2020	EPI_ISL_591457	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B																	
Mozambique/Cento-30032996/2020	EPI_ISL_815255	Centogene		Peter Bauer et al																	
Ukraine/203100324/2020	EPI_ISL_512604	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
Latvia/190/2020	EPI_ISL_639687	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/304/2021	EPI_ISL_961841	Latvian Biomedical Research and Study Centre		Janis Pjalkovskis et al																	
Latvia/312/2021	EPI_ISL_961849	Latvian Biomedical Research and Study Centre		Janis Pjalkovskis et al																	
Latvia/298/2021	EPI_ISL_961835	Latvian Biomedical Research and Study Centre		Janis Pjalkovskis et al																	
Latvia/621/2021	EPI_ISL_1219435	Latvian Biomedical Research and Study Centre		Janis Pjalkovskis et al																	
Israel/CVL-923ngs/2020	EPI_ISL_889137	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
Israel/CVL-924ngs/2020	EPI_ISL_889138	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al																	
Ukraine/ChVir23535_99/2021	EPI_ISL_1112338	"Charité Universitätsmedizin Berlin, Institute of Virology"		Victor M Corman et al A																	
Netherlands/GE-EMC-458/2020	EPI_ISL_801457	Erasmus Medical Center		Bas Oude Munnink et al																	
Denmark/DCGC-7575/2020	EPI_ISL_618485	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Russia/AST-RII-MH4121S/2020	EPI_ISL_733166	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al A			Astrakhan														
Poland/PL_P21/2020	EPI_ISL_451982	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków														
Poland/PL_P14/2020	EPI_ISL_451975	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków														
Poland/PL_P19/2020	EPI_ISL_451980	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków														
Poland/PL_P20/2020	EPI_ISL_451981	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków														
Poland/PL_P10/2020	EPI_ISL_451971	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College."		Marek Sanak et al			Kraków														
Poland/PL_P28/2020	EPI_ISL_455441	"1. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University; 2. II Department of Internal Medicine, Faculty of Medicine, Jagiellonian University Medical College; 3. Narodowy Instytut Zdrowia Publicznego – Państwowy Zakład Higieny (NIZP-PZH)."		Katarzyna Pancer et al			Kraków														
Argentina/PAIS-A0016/2020	EPI_ISL_430807	Área de Secuenciación del Laboratorio de Virología del Hospital de Niños Dr. Ricardo Gutierrez on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)		Nabaes Jodar et al B (https://dx.doi.org/10.1101/2020.05.23.20111443)		Europe															
Latvia/086/2020	EPI_ISL_501929	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/060/2020	EPI_ISL_492995	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/089/2020	EPI_ISL_512314	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/076/2020	EPI_ISL_501823	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Tunisia/3913/2020	EPI_ISL_654016	"1-Clinical and Experimental Pharmacology Lab, LR16SP02, National Center of Pharmacovigilance, University of Tunis El Manar, Tunis, Tunisia. 2-Neurodegenerative diseases and psychiatric troubles, LR18SP03, Razi Hospital, University of Tunis El Manar, Tunis, Tunisia. 3- Ministry of Health, National Observatory of New and Emerging Diseases, 1006, Tunis, Tunisia"		Ilhem Boutiba-Ben Boubaker et al																	
Poland/1157821/2020	EPI_ISL_512303	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Maciej Grzybek et al																	
Sweden/20-53266/2020	EPI_ISL_654503	The Public Health Agency of Sweden		Anna-Malin Linde et al																	
Sweden/20-53258/2020	EPI_ISL_676515	The Public Health Agency of Sweden		Department of Microbiology et al																	
Sweden/21-50157/2020	EPI_ISL_913278	The Public Health Agency of Sweden		Anna-Malin Linde et al																	
Sweden/21-50165/2020	EPI_ISL_913279	The Public Health Agency of Sweden		Anna-Malin Linde et al																	
England/BIRM-63D31/2020	EPI_ISL_576881	COVID-19 Genomics UK (COG-UK) Consortium		Institute of Microbiology et al																	
Latvia/172/2020	EPI_ISL_639669	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/195/2020	EPI_ISL_639692	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Portugal/PT2163/2020	EPI_ISL_796763	Instituto Nacional de Saude (INSA)		Borges et al et al																	
England/CAMC-AB1DB2/2020	EPI_ISL_623657	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		Rob Howes et al																	
Netherlands/ZE-RIVM-10375/2020	EPI_ISL_636589	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
Netherlands/ZE-RIVM-10376/2020	EPI_ISL_636590	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
Switzerland/ZH-ETHZ-270186/2020	EPI_ISL_541533	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Switzerland/ZH-ETHZ-270184/2020	EPI_ISL_541531	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Netherlands/GE-EMC-433/2020	EPI_ISL_722849	Erasmus Medical Center		Bas Oude Munnink et al																	
Ireland/WW-NVRL-AIIDV1099v1/2020	EPI_ISL_768772	Irish Coronavirus Sequencing Consortium - National Virus Reference Laboratory		Michael Carr et al																	
Netherlands/ZH-EMC-693/2020	EPI_ISL_632399	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/ZH-RIVM-20892/2020	EPI_ISL_790930	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al																	
Netherlands/ZH-EMC-547/2020	EPI_ISL_577975	Erasmus Medical Center		Bas Oude Munnink et al																	
Netherlands/GE-EMC-432/2020	EPI_ISL_722848	Erasmus Medical Center		Bas Oude Munnink et al																	
Norway/7082/2020	EPI_ISL_796713	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al																	
Latvia/224/2020	EPI_ISL_770058	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/174/2020	EPI_ISL_639671	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/175/2020	EPI_ISL_639672	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/197/2020	EPI_ISL_639694	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/228/2020	EPI_ISL_770062	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/199/2020	EPI_ISL_770037	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/149/2020	EPI_ISL_639646	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/204/2020	EPI_ISL_770040	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/198/2020	EPI_ISL_770036	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/216/2020	EPI_ISL_770051	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/147/2020	EPI_ISL_639644	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/171/2020	EPI_ISL_639668	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/191/2020	EPI_ISL_639688	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/185/2020	EPI_ISL_639682	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Montenegro/ChVir-1267392002/2020	EPI_ISL_516923	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Ireland/WW-NVRL-MPN63349/2020	EPI_ISL_767838	Irish Coronavirus Sequencing Consortium - Teagasc Moorepark		Calum Walsh et al																	
Brazil/RS-40467/2020	EPI_ISL_942899	State Center for Health Surveillance of the Health Department of the State of Rio Grande do Sul (CEVS/SES-RS)		Barcellos R et al																	
Thailand/Nonthaburi_3472/2020	EPI_ISL_455593	"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand"		Pilailuk et al A																	
Turkey/HSGM-8979/2020	EPI_ISL_429864	Ministry of Health Turkey		Fatma Bayrakdar et al B (https://dx.doi.org/10.1101/2020.05.15.095794)																	
SouthKorea/KDCA0105/2020	EPI_ISL_747341	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al																	
Norway/3620/2020	EPI_ISL_635116	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al																	
SouthKorea/KDCA0351/2020	EPI_ISL_760136	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al																	
Poland/1154942/2020	EPI_ISL_512299	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Maciej Grzybek et al																	
Poland/1154951/2020	EPI_ISL_512300	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Maciej Grzybek et al																	
Poland/1157220/2020	EPI_ISL_512302	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Maciej Grzybek et al																	
Switzerland/TI-ETHZ-460026/2021	EPI_ISL_1003197	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Ukraine/Kharkiv-817/2020	EPI_ISL_582509	"Department of Respiratory and other Viral Infections of L.V.Gromashevsky Institute of Epidemiology & Infectious Diseases NAMS of Ukraine, JSC ""Farmak"""		Alla Mironenko et al																	
Germany/SH-ChVir9989/2020	EPI_ISL_729660	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Denmark/DCGC-2321/2020	EPI_ISL_617658	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-3861/2020	EPI_ISL_622733	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Iceland/6098/2020	EPI_ISL_829777	deCODE genetics		Daniel F Gudbjartsson et al A		Poland															
Iceland/6052/2020	EPI_ISL_829731	deCODE genetics		Daniel F Gudbjartsson et al A		Denmark															
Denmark/DCGC-12424/2020	EPI_ISL_682605	"Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortium et al																	
Denmark/DCGC-7375/2020	EPI_ISL_619278	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-6665/2020	EPI_ISL_619568	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-7197/2020	EPI_ISL_619194	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-7152/2020	EPI_ISL_619171	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-6870/2020	EPI_ISL_619715	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-7370/2020	EPI_ISL_619291	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-6999/2020	EPI_ISL_619846	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-7310/2020	EPI_ISL_619301	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-7458/2020	EPI_ISL_619393	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-6587/2020	EPI_ISL_619635	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
France/ARA-10251/2020	EPI_ISL_418426	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Bourg-en-Bresse														
Chile/RM-ISPCH-40/2020	EPI_ISL_445319	Instituto de Salud Publica de Chile		Andrés E Castillo et al																	
Taiwan/TSGH-03/2020	EPI_ISL_426631	TSGH-CP molecular lab		Cherng-Lih Perng et al																	
Vietnam/PIHCM-323/2020	EPI_ISL_654870	Department of Microbiology and Immunology - Pasteur Institute in Ho Chi Minh city		Trần Thị Hồng Kim et al																	
CzechRepublic/Seq6/2020	EPI_ISL_426359	"Laboratory of Molecular Genetics, 2nd Faculty of Medicine, Charles University in Prague, Prague, Czech Republic"		Lenka Kramna et al																	
Chile/RM-ISPCH-42/2020	EPI_ISL_445321	Instituto de Salud Publica de Chile		Andrés E Castillo et al																	
SaudiArabia/KAIMRC12/2020	EPI_ISL_507018	"Infectious Diseases Research, King Abdullah International Medical Research Center (KAIMRC)"		Alghoribi et al																	
Chile/RM-ISPCH-38/2020	EPI_ISL_445317	Instituto de Salud Publica de Chile		Andrés E Castillo et al																	
Ireland/KE-20G31505/2020	EPI_ISL_848111	Irish Coronavirus Sequencing Consortium - National University of Ireland Galway		Kate Reddington et al																	
Turkey/Pen07-2/2020	EPI_ISL_500716	"Department of Medicinal Genetics, Bursa Uludağ University, Faculty of medicine By Sehime Gülsün Temel, Adem Alemdar, Kadir Yeşilbağ"		Mustafa HASOKSUZ et al																	
Turkey/Pen07/2020	EPI_ISL_491476	"Genomic Laboratory (GLAB), Istanbul Technical University"		Mustafa HASOKSUZ et al																	
Colombia/VAC-INS-81251/2020	EPI_ISL_456139	"Instituto Nacional de Salud, Universidad Cooperativa de Colombia, Instituto Alexander von Humboldt, Imperial College-London, London School of Hygiene & Tropical Medicine"		Katherine Laiton-Donato et al B (https://dx.doi.org/10.1101/2020.06.02.20120782)																	
NewZealand/20VR3066/2020	EPI_ISL_579406	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al																	
Italy/SAR-ATS-AMC1-4634/2020	EPI_ISL_457825	Army Medical and Veterinary Research Center		Silvia Fillo et al																	
Denmark/ALAB-SSI469/2020	EPI_ISL_429549	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Rasmus Kirkegaard et al																	
Hungary/SRC-00278w/2020	EPI_ISL_435427	"Bioinformatics Research Group, Szentágothai Research Centre"		Péter Urbán et al																	
Hungary/SRC-02801w/2020	EPI_ISL_435428	"Bioinformatics Research Group, Szentágothai Research Centre"		Péter Urbán et al																	
Brazil/SP-HIAE-ID09/2020	EPI_ISL_861874	LATE - Laboratório de Técnicas Especiais - Hospital Israelita Albert Einstein		Deyvid Amgarten et al																	
England/LIVE-A91BB/2020	EPI_ISL_517273	COVID-19 Genomics UK (COG-UK) Consortium		Sam Haldenby et al																	
England/LOND-124F756/2020	EPI_ISL_665169	COVID-19 Genomics UK (COG-UK) Consortium		Judith Heaney et al																	
Oman/205024123/2020	EPI_ISL_457703	Department of Microbiology and Immunology- SQUH		Fahad Zadjali et al																	
Russia/StPetersburg-RII4328S/2020	EPI_ISL_427338	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al B (https://dx.doi.org/10.1101/2020.07.14.20150979)																	
Russia/StPetersburg-RII4332S/2020	EPI_ISL_427339	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al B (https://dx.doi.org/10.1101/2020.07.14.20150979)																	
SaudiArabia/KAUST-Jeddah60/2020	EPI_ISL_437497	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sara Mfarrej et al																	
Russia/Ulan-Ude-RII4562V/2020	EPI_ISL_430112	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al B (https://dx.doi.org/10.1101/2020.07.14.20150979)			Ulan-Ude														
Nigeria/LA-CV255/2020	EPI_ISL_729939	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Nigeria/LA-CV256/2020	EPI_ISL_729940	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Nigeria/ON920-CV152/2020	EPI_ISL_527891	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Nigeria/FC-CV527/2020	EPI_ISL_872602	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University"		Oluniyi P.E. et al et al																	
Nigeria/OY636-CV192/2020	EPI_ISL_527915	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Nigeria/OS-CV292/2020	EPI_ISL_729971	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Nigeria/OS-CV294/2020	EPI_ISL_729973	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al																	
Bangladesh/CHRF-0009/2020	EPI_ISL_468077	Child Health Research Foundation		Senjuti Saha et al																	
Australia/VIC3553/2020	EPI_ISL_520302	VIDRL and MDU-PHL		Caly L. et al B																	
Australia/VIC6207/2020	EPI_ISL_518208	VIDRL and MDU-PHL		Caly L. et al B																	
Australia/VIC13225/2020	EPI_ISL_561860	MDU-PHL		Seemann et al																	
Australia/VIC9697/2020	EPI_ISL_565660	MDU-PHL		Seemann et al																	
