strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
SouthKorea/KDCA1364/2020	EPI_ISL_1063603	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al		Africa												
India/DL-ILBS-4871T/2020	EPI_ISL_605810	ILBS - IGIB		Ekta Gupta et al														
Singapore/777/2020	EPI_ISL_509387	Department of Microbiology		Nurdyana Abdul Rahman et al														
HongKong/HKU-201216-082/2020	EPI_ISL_1034510	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al														
Australia/NSW-R0071/2021	EPI_ISL_1061037	Microbiology RPAH		Foster et al														
Japan/IC-0809/2021	EPI_ISL_1198817	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B														
Australia/NSW1207/2020	EPI_ISL_667805	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
Australia/VIC2141/2020	EPI_ISL_480742	VIDRL and MDU-PHL		Caly L. et al B														
India/MH-ACTREC-626/2020	EPI_ISL_700261	"Hematopathology Laboratory, ACTREC, TMC"		Hematopathology Laboratory et al														
India/UP-AR66/2020	EPI_ISL_508202	National Institute of Biomedical Genomics		Arindam Maitra et al														
India/JK-ICMR-65962/2020	EPI_ISL_1073011	"Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex"		Pragya D. Yadav et al														
India/JK-ICMR-65960/2020	EPI_ISL_1073010	"Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex"		Pragya D. Yadav et al														
India/JK-ICMR-65958/2020	EPI_ISL_1073009	"Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex"		Pragya D. Yadav et al														
Australia/NSW1120/2020	EPI_ISL_593734	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
India/JK-ICMR-65965/2020	EPI_ISL_1073014	"Indian Council of Medical Research-National Institute of Virology, Microbial Containment Complex"		Pragya D. Yadav et al														
Denmark/DCGC-4206/2020	EPI_ISL_622099	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Australia/VIC2390/2020	EPI_ISL_522108	VIDRL and MDU-PHL		Caly L. et al B														
Australia/NSW2515/2020	EPI_ISL_527034	"Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick"		Rawlinson et al														
Australia/NSW1049/2020	EPI_ISL_593701	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
India/GJ-GBRC72b/2020	EPI_ISL_447050	Gujarat Biotechnology Research Centre		Geeta Vaghela et al (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)														
India/AP-CCMB-BB648/2020	EPI_ISL_745201	CSIR-Centre for Cellular and Molecular Biology		Dr.V.Sudha Rani et al														
NewZealand/20CV0704/2020	EPI_ISL_755633	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0709/2020	EPI_ISL_755634	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
India/TG-CCMB-BB647/2020	EPI_ISL_745200	CSIR-Centre for Cellular and Molecular Biology		Dr.V.Sudha Rani et al														
Japan/IC-0415/2020	EPI_ISL_736921	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B														
Lebanon/LAU-R113/2020	EPI_ISL_1009123	School of Pharmacy		Ahmed Kandeil et al														
Zambia/ZMB-37336/2020	EPI_ISL_977458	UNZAVET and PATH		Mulenga Mwenda-Chimfwembe et al														
NewZealand/20CV0203/2020	EPI_ISL_548111	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0208/2020	EPI_ISL_548113	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
Denmark/DCGC-48896/2021	EPI_ISL_1125243	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-49685/2021	EPI_ISL_1126076	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-49620/2021	EPI_ISL_1126011	Aalborg University		Danish Covid-19 Genome Consortium et al														
Sweden/21-51122/2021	EPI_ISL_1064653	The Public Health Agency of Sweden		Oskar Karlsson Lindsjo et al														
Sweden/21-50695/2021	EPI_ISL_1168045	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Denmark/DCGC-49420/2021	EPI_ISL_1125810	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-46799/2021	EPI_ISL_1066309	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-48400/2021	EPI_ISL_1124290	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-48192/2021	EPI_ISL_1123822	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-48186/2021	EPI_ISL_1123809	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-50370/2021	EPI_ISL_1126761	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-48908/2021	EPI_ISL_1125256	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-48369/2021	EPI_ISL_1124223	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-48158/2021	EPI_ISL_1123745	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-49291/2021	EPI_ISL_1125681	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-48847/2021	EPI_ISL_1125193	Aalborg University		Danish Covid-19 Genome Consortium et al														
Denmark/DCGC-49477/2021	EPI_ISL_1125867	Aalborg University		Danish Covid-19 Genome Consortium et al														
India/DL-NCDC-01744/2020	EPI_ISL_435069	NCDC/CSIR-IGIB		Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)														
India/DL-NCDC-01757/2020	EPI_ISL_435068	NCDC/CSIR-IGIB		Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)														
Turkey/HSGM-5711/2020	EPI_ISL_428716	Ministry of Health Turkey		Fatma Bayrakdar et al B (https://dx.doi.org/10.1101/2020.05.15.095794)		Asia												
India/DL-NCDC-01711/2020	EPI_ISL_435066	NCDC/CSIR-IGIB		Pramod Kumar et al (https://dx.doi.org/10.1101/2020.06.04.128751)														
Norway/5898/2020	EPI_ISL_759979	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Egypt/CUNCI-HGC6I016/2020	EPI_ISL_475723	Egyptian National Cancer Institute (ENCI)		Zekri et al														
Singapore/828/2020	EPI_ISL_516828	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
SouthKorea/KDCA1360/2020	EPI_ISL_1063648	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al														
Austria/CeMM1083/2020	EPI_ISL_583885	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A														
Denmark/DCGC-1927/2020	EPI_ISL_622520	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
SaudiArabia/KAUST-RIYADH1241/2020	EPI_ISL_678213	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Muhammad Shuaib et al														
NewZealand/20CV0542/2020	EPI_ISL_637093	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
SouthKorea/KDCA1441/2020	EPI_ISL_1063682	"Division of Emerging Infectious Diseases, Bureau of Infectious Diseases Diagnosis Control, Korea Disease Control and Prevention Agency"		Ae Kyung Park et al														
Denmark/DCGC-2704/2020	EPI_ISL_616437	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Norway/0638/2021	EPI_ISL_906793	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Norway/0636/2021	EPI_ISL_906812	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Norway/1355/2021	EPI_ISL_964997	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Norway/1354/2021	EPI_ISL_964996	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Australia/NSW615/2020	EPI_ISL_490024	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
UnitedArabEmirates/1780/2020	EPI_ISL_859581	"BTC, Khalifa University"		Al Safar et al et al														
India/GJ-GBRC91/2020	EPI_ISL_447553	Gujarat Biotechnology Research Centre		Dinesh Kumar et al (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)														
India/GJ-GBRC34/2020	EPI_ISL_444465	Gujarat Biotechnology Research Centre		Monika Gandhi et al (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)														
HongKong/VM20060398/2020	EPI_ISL_539811	Hong Kong Department of Health		Alan K.L. Tsang et al														
India/GJ-GBRC30/2020	EPI_ISL_444461	Gujarat Biotechnology Research Centre		Ankit Hinsu et al (https://www.biorxiv.org/content/10.1101/2020.05.28.122143v1)														
Malaysia/IMR_WC39298/2021	EPI_ISL_962207	"Institute for Medical Research, Infectious Disease Research Centre, National Institutes of Health, Ministry of Health Malaysia"		Suppiah J et al														
India/GJ-GBRC133/2020	EPI_ISL_458088	Gujarat Biotechnology Research Centre		Pranay Shah et al (https://www.biorxiv.org/content/10.1101/2020.07.10.197095v1)														
India/GJ-GBRC139b/2020	EPI_ISL_458098	Gujarat Biotechnology Research Centre		Komal Patel et al														
UnitedArabEmirates/skmc-3138700/2020	EPI_ISL_582653	Molecular/Surveillance lab Sheikh Khalifa Medical City		Amirtharaj Francis et al														
India/GJ-GBRC-396/2020	EPI_ISL_524766	Gujarat Biotechnology Research Centre		Janvi Raval et al														
India/GJ-GBRC-397a/2020	EPI_ISL_525421	Gujarat Biotechnology Research Centre		Zarna Patel et al														
SaudiArabia/KAUST-MADINAH690/2020	EPI_ISL_677965	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sara Mfarrej et al														
Australia/NSW2513/2020	EPI_ISL_527033	"Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick"		Rawlinson et al														
Australia/NSW1048/2020	EPI_ISL_593700	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
SaudiArabia/KAUST-Madinah252/2020	EPI_ISL_437736	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sharif Hala et al														
Turkey/HSGM-8968/2020	EPI_ISL_429861	Ministry of Health Turkey		Fatma Bayrakdar et al B (https://dx.doi.org/10.1101/2020.05.15.095794)														
SaudiArabia/KAUST-MADINAH851/2020	EPI_ISL_513191	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Afrah Alsomali et al														
SaudiArabia/KAUST-MADINAH975/2020	EPI_ISL_513213	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Raeece Naeem et al														
SaudiArabia/KAUST-MAKKAH301/2020	EPI_ISL_513222	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sharif Hala et al														
SaudiArabia/KAUST-JEDDAH875/2020	EPI_ISL_513028	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Rahul P Salunke et al														
Jordan/AM-ALSR-5324/2020	EPI_ISL_730560	Andersen lab at Scripps Research		Issa Abu-Dayyeh et al														
NewZealand/20CV0531/2020	EPI_ISL_637086	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0506/2020	EPI_ISL_622792	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0524/2020	EPI_ISL_637084	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0527/2020	EPI_ISL_637085	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0545/2020	EPI_ISL_637096	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0563/2020	EPI_ISL_649125	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
NewZealand/20CV0556/2020	EPI_ISL_649123	Institute of Environmental Science and Research (ESR)		Xiaoyun Ren et al														
SaudiArabia/KAUST-Makkah227/2020	EPI_ISL_437723	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sharif Hala et al														
Netherlands/ZuidHolland_113/2020	EPI_ISL_455302	Erasmus Medical Center		Bas Oude Munnink et al														
SaudiArabia/KAUST-MADINAH683/2020	EPI_ISL_677945	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sara Mfarrej et al														
Cyprus/Cy038919/2020	EPI_ISL_1164629	"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics"		Jan Richter et al														
NorthMacedonia/30754/2021	EPI_ISL_957966	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		Aleksandar J. Dimovski et al														
NorthMacedonia/30751/2021	EPI_ISL_1137614	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		Aleksandar J. Dimovski et al														
SaudiArabia/KAUST-RIYADH1248/2020	EPI_ISL_678171	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sara Mfarrej et al														
Sweden/20-53044/2020	EPI_ISL_654504	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Sweden/20-53045/2020	EPI_ISL_654505	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Australia/WA62/2020	EPI_ISL_512715	PathWest Laboratory Medicine WA Microbial Surveillance Unit		PathWest Laboratory Medicine WA Microbial Surveillance Unit et al														
Australia/WA63/2020	EPI_ISL_512716	PathWest Laboratory Medicine WA Microbial Surveillance Unit		PathWest Laboratory Medicine WA Microbial Surveillance Unit et al														
Australia/WA84/2020	EPI_ISL_512737	PathWest Laboratory Medicine WA Microbial Surveillance Unit		PathWest Laboratory Medicine WA Microbial Surveillance Unit et al														
Australia/VIC2228/2020	EPI_ISL_521965	VIDRL and MDU-PHL		Caly L. et al B														
Ireland/WD-NVRL-70IRL98816/2020	EPI_ISL_500576	National Virus Reference Laboratory		Michael Carr et al														
Ireland/WD-NVRL-71IRL06455/2020	EPI_ISL_500581	National Virus Reference Laboratory		Michael Carr et al														
Ireland/D-NVRL-71IRL01530/2020	EPI_ISL_500579	National Virus Reference Laboratory		Michael Carr et al														
Algeria/G37318-8849/2020	EPI_ISL_766863	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"		Mélanie Albert et al C														
Australia/NSW1293/2020	EPI_ISL_767859	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
Australia/NSW1294/2020	EPI_ISL_767860	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
Singapore/893/2020	EPI_ISL_536434	"National Public Health Laboratory, National Centre for Infectious Diseases"		Mak TM et al														
Switzerland/BS-UHB-42492482/2020	EPI_ISL_930971	"University Hospital Basel, Clinical Bacteriology"		Tim Roloff et al			Basel											
Turkey/HSGM-2042/2021	EPI_ISL_1073802	Ministry of Health Turkey		Fatma Bayrakdar et al A														
England/MILK-566C5A/2020	EPI_ISL_558361	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al														
England/ALDP-94EA69/2020	EPI_ISL_554944	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Alderley Park et al														
HongKong/HKU-201216-018/2020	EPI_ISL_1034468	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al														
England/MILK-6303DB/2020	EPI_ISL_556300	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al														
Japan/IC-0180/2020	EPI_ISL_667609	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B														
Pakistan/JRCGR-KHI02/2020	EPI_ISL_779269	"Jamil-ur-Rahman Center for Genome Research, Dr. Panjwani Center for Molecular Medicine and Drug Research"		Shakeel et al														
SaudiArabia/KAUST-MADINAH398/2020	EPI_ISL_513151	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Fadwa Alofi et al														
SaudiArabia/KAUST-MADINAH396/2020	EPI_ISL_513149	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Fadwa Alofi et al														
Turkey/37-Ankara-GUMV-50768/2020	EPI_ISL_984739	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Iran/Tehran-04/2020	EPI_ISL_862079	National Influenza Center		K Sadeghi et al														
Iran/Ghilan-M30-241/2020	EPI_ISL_1014681	National Influenza Center		V Salimi et al														
Denmark/DCGC-2293/2020	EPI_ISL_617717	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Sweden/20-53344/2020	EPI_ISL_710602	The Public Health Agency of Sweden		Department of Microbiology et al														
Australia/VIC2119/2020	EPI_ISL_487271	"MDU-PHL, The Peter Doherty Institute for Infection and Immunity"		Caly et al B														
Denmark/DCGC-3391/2020	EPI_ISL_616150	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Australia/VIC2257/2020	EPI_ISL_521986	VIDRL and MDU-PHL		Caly L. et al B														
Singapore/1080/2020	EPI_ISL_596470	"National Public Health Laboratory, National Centre for Infectious Diseases"		Tze Minn Mak et al														
Iran/Gilan-NIC230/2020	EPI_ISL_959277	National Influenza Center		J Yavarian et al														
England/MILK-6160F2/2020	EPI_ISL_557927	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al														
India/UP-NBRI-N52-TEH623/2020	EPI_ISL_516980	CSIR-National Botanical Research Institute		Priti Prasad et al														
India/GJ-GBRC137b/2020	EPI_ISL_458095	Gujarat Biotechnology Research Centre		Raghawendra Kumar et al														
Bangladesh/CHRF-0024/2020	EPI_ISL_477134	Child Health Research Foundation		Senjuti Saha et al A														
SaudiArabia/KAUST-RIYADH1167/2020	EPI_ISL_678160	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Raeece Naeem et al														
SaudiArabia/KAUST-QATIF1351/2020	EPI_ISL_678147	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sara Mfarrej et al														
Netherlands/NH-RIVM-21433/2020	EPI_ISL_905499	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Australia/NSW1143/2020	EPI_ISL_593753	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney		CIDM-PH et al. et al														
England/MILK-64FFB7/2020	EPI_ISL_558041	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium		The Lighthouse Lab in Milton Keynes et al														
SaudiArabia/KAUST-MADINAH1269/2020	EPI_ISL_678004	Pathogen Genomics Lab King Abdullah University of Science and Technology(KAUST)		Sara Mfarrej et al														
India/DL-69775-CSIR-IGIB/2020	EPI_ISL_636777	NCDC/CSIR-IGIB		Mahesh S. Dhar1* et al														
HongKong/HKPU-05352/2020	EPI_ISL_1019671	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Gilman Kit-Hang Siu et al														
India/MH-NCCS-NR-12775/2020	EPI_ISL_722180	National Centre For Cell Science		Dhiraj Paul et al														
Croatia/52105_ID1647-22/2020	EPI_ISL_994667																	
Serbia/Vrsac-040471604/2020	EPI_ISL_676595	"Veterinary Specialized Institute ""Kraljevo"", Serbia"		Vidanovic et al			Vrsac											
Serbia/Titel-054312104/2020	EPI_ISL_676597	"Veterinary Specialized Institute ""Kraljevo"", Serbia"		Vidanovic et al			Titel											
Serbia/Titel-059642304/2020	EPI_ISL_676598	"Veterinary Specialized Institute ""Kraljevo"", Serbia"		Vidanovic et al			Titel											
Turkey/DEN-PAU17/2020	EPI_ISL_708193	Pamukkale University Department of Medical Genetics		Onur TOKGUN et al. et al														
DRC/81/2020	EPI_ISL_417944	"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"		Placide Mbala-Kingebeni et al A (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)														
France/IDF_PSL_383/2020	EPI_ISL_1015120	"Department of Virology, Pitié-Salpêtrière hospital"		Valentin Leducq et al														
France/IDF_PSL_386/2020	EPI_ISL_1015122	"Department of Virology, Pitié-Salpêtrière hospital"		Valentin Leducq et al														
DRC/2563/2020	EPI_ISL_437340	"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"		Placide Mbala-Kingebeni et al A (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)														
DRC/2670/2020	EPI_ISL_437343	"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"		Placide Mbala-Kingebeni et al A (https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528)														
DRC/5927/2020	EPI_ISL_496498	"Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)"		Placide Mbala-Kingebeni et al B														
Latvia/032/2020	EPI_ISL_486415	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al														
NorthMacedonia/ChVir7904/2020	EPI_ISL_492076	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
NorthMacedonia/2907/2020	EPI_ISL_516418	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al														
NorthMacedonia/4098/2020	EPI_ISL_677708	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al														
NorthMacedonia/ZMC6172/2020	EPI_ISL_760246	"Laboratory of Genetics and Personalized Medicine, Zan Mitrev Clinic"		Kungulovski et al. et al														
Netherlands/ZH-EMC-580/2020	EPI_ISL_578008	Erasmus Medical Center		Bas Oude Munnink et al														
Sweden/20-22122/2020	EPI_ISL_582791	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Turkey/HSGM-17240/2020	EPI_ISL_812880	Ministry of Health Turkey		Fatma Bayrakdar et al A														
Turkey/HSGM-P619/2020	EPI_ISL_812885	Ministry of Health Turkey		Fatma Bayrakdar et al A														
Denmark/DCGC-2066/2020	EPI_ISL_618317	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Switzerland/BL-ETHZ-260009/2020	EPI_ISL_539347	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Switzerland/BS-UHB-65256740/2020	EPI_ISL_582002	"University Hospital Basel, Clinical Bacteriology"		Madlen Stange et al														
Switzerland/BL-ETHZ-260048/2020	EPI_ISL_539376	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Switzerland/BL-ETHZ-270101/2020	EPI_ISL_541448	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Switzerland/BL-ETHZ-260171/2020	EPI_ISL_539462	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Switzerland/BL-ETHZ-260079/2020	EPI_ISL_539401	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Switzerland/BL-ETHZ-260116/2020	EPI_ISL_539425	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al														
Germany/HE-Cento-32986531/2020	EPI_ISL_815302	Centogene		Peter Bauer et al			Ginsheim											
Netherlands/GE-EMC-325/2020	EPI_ISL_632408	Erasmus Medical Center		Bas Oude Munnink et al														
Netherlands/NB-EMC-312/2020	EPI_ISL_632665	Erasmus Medical Center		Bas Oude Munnink et al														
Sweden/20-53057/2020	EPI_ISL_710609	The Public Health Agency of Sweden		Department of Microbiology et al														
Sweden/20-52695/2020	EPI_ISL_648142	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Sweden/20-53086/2020	EPI_ISL_648136	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Sweden/20-53050/2020	EPI_ISL_661286	The Public Health Agency of Sweden		Department of Microbiology et al														
Denmark/DCGC-5345/2020	EPI_ISL_615276	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Turkey/Istanbul-BezmCoV1/2020	EPI_ISL_457824	"Bezmialem Vakif University, Medical School & Beykoz Institute of Life Sciences & Biotechnology"		Mehmet Z. Doymaz et al														
Turkey/IST-GLAB-335/2020	EPI_ISL_735352	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Iran/Gilan-NIC184/2020	EPI_ISL_959278	National Influenza Center		A Nejati et al														
Iran/Gilan-NIC189/2020	EPI_ISL_959282	National Influenza Center		J Yavarian et al														
Turkey/IST-GLAB-003/2020	EPI_ISL_480228	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-010/2020	EPI_ISL_735260	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-269/2020	EPI_ISL_735326	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/KOC-IST-B91/2020	EPI_ISL_478670	"Microbiology, Koc University"		Can et al														
Turkey/HSGM-7718/2020	EPI_ISL_428719	Ministry of Health Turkey		Fatma Bayrakdar et al B (https://dx.doi.org/10.1101/2020.05.15.095794)														
Turkey/IST-GLAB-054/2020	EPI_ISL_480235	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-A3/2020	EPI_ISL_735368	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
France/IDF_HB_112004003571/2020	EPI_ISL_940353	"IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat"		Antoine Bridier-Nahmias et al														
Turkey/IST-GLAB-115/2020	EPI_ISL_480247	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/IST-GLAB-127/2020	EPI_ISL_735273	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Turkey/KU-024/2020	EPI_ISL_495434	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-020/2020	EPI_ISL_495430	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-035/2020	EPI_ISL_495445	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-032/2020	EPI_ISL_495442	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-007/2020	EPI_ISL_495417	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-038/2020	EPI_ISL_495448	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-033/2020	EPI_ISL_495443	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
Turkey/KU-018/2020	EPI_ISL_495428	"Kafkas University, Faculty of Medicine, Department of Medical Microbiology"		Murat Karamese et al														
